trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.9, 'e': 0.648271319698891}",20,0,-138.95958486720238,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
123,False,"{'a': 0.9, 'e': 0.6461885216240527}",25,1,-62.85514454086714,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
124,False,"{'a': 0.9, 'e': 0.6441157450229177}",20,0,-30.090680789163713,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
125,False,"{'a': 0.9, 'e': 0.6420529257067719}",20,0,-59.617374720941925,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
126,False,"{'a': 0.9, 'e': 0.64}",25,0,-68.34928616929716,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.9, 'e': 0.6379569047351713}",25,0,-59.70765428316553,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
128,False,"{'a': 0.9, 'e': 0.6359235772481806}",25,0,-104.86874114577199,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
129,False,"{'a': 0.9, 'e': 0.6338999553734431}",25,12,-33.258346847749856,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.9, 'e': 0.631885977439143}",20,0,-151.04340398682325,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
131,False,"{'a': 0.9, 'e': 0.6298815822625345}",25,18,16.302430371222364,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.6278867091452955}",20,6,-41.492664814651306,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.9, 'e': 0.6259012978689312}",25,0,-94.72064679882062,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.9, 'e': 0.623925288690231}",20,0,-144.58483672306835,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
135,False,"{'a': 0.9, 'e': 0.6219586223367731}",35,13,-97.66973813811492,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
136,False,"{'a': 0.9, 'e': 0.62000124000248}",20,0,-88.51856890879799,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
137,False,"{'a': 0.9, 'e': 0.6180530833432222}",25,0,-107.48445183025498,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.9, 'e': 0.6161140944724708}",20,0,-24.133485053764502,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
139,False,"{'a': 0.9, 'e': 0.6141842159569972}",20,0,-41.36587176269272,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
